t,x,y
0.000,0.629,1.181
0.033,0.842,1.112
0.067,0.930,1.187
0.100,1.013,1.209
0.133,1.230,1.193
0.167,1.393,1.181
0.200,1.582,1.168
0.233,1.714,1.104
0.267,1.931,1.088
0.300,2.094,1.077
0.333,2.256,1.065
0.367,2.527,1.046
0.400,2.605,0.986
0.433,2.876,0.966
0.467,3.093,0.951
0.500,3.389,0.903
0.533,3.633,0.885
0.567,3.908,0.920
0.600,4.230,0.842
0.633,4.780,0.912
0.667,5.179,0.775
0.700,5.315,0.765
0.733,5.617,0.798
0.767,5.919,0.831
0.800,6.169,0.895
0.833,6.602,0.864
0.866,6.876,0.872
0.900,7.282,0.842
0.933,7.581,0.821
0.966,8.047,0.870
1.000,8.291,0.852
1.033,8.617,0.829
1.066,9.054,0.852
1.100,9.492,0.875
1.133,9.788,0.827
1.166,10.20,0.798
1.200,10.53,0.937
1.233,10.97,0.961
1.266,11.16,0.920
1.300,12.12,1.015
1.333,12.50,1.042
1.366,12.99,1.007
1.400,13.42,0.976
1.433,13.89,0.970
1.466,14.37,0.935
1.500,14.99,1.110
1.533,15.33,1.003
1.566,15.93,0.961
1.600,16.51,1.137
1.633,17.08,1.096
1.666,17.55,1.063
1.700,18.01,1.030
1.733,18.63,0.986
1.766,19.09,0.980
1.800,19.53,0.976
1.833,20.27,1.114
1.866,20.39,1.187

